Dealer,Average Final Rankings,Number of Different Cars Sold
James Chrysler Dodge Jeep Ram,4.69,18
Rick Case Kia at Gwinnett Place,4.69,1606
Car Factory Outlet Hollywood,4.69,3253
Apple Ford Lincoln Apple Valley,4.69,7532
Grand Motorcars,4.69,1448
AutoNation Honda Thornton Road,4.69,1320
AutoNation Honda South Corpus Christi,4.69,754
CarMax Pleasant Hill - Now offering Curbside Pickup and Home Delivery,4.69,81
Bertera Subaru of West Springfield,4.69,1296
Octane Buick GMC,4.69,175
Bill Jacobs VW,4.69,2883
Alfa Romeo and Fiat of Maple Shade,4.69,1762
Honda of Fayetteville,4.69,655
Vic Bailey Honda,4.69,809
Stohlman Volkswagen Subaru,4.69,3161
Suburban Chevrolet Cadillac of Ann Arbor,4.69,7319
Best Chrysler Dodge Jeep Ram,4.69,3391
Schomp Mazda,4.69,392
North Shore Mazda,4.69,3278
Rochester Ford,4.69,373
Two Rivers Ford,4.69,841
BMW of Spokane,4.69,763
Lexus Santa Monica,4.69,1126
BMW of Rochester Hills,4.69,18
Carbone Subaru of Troy,4.69,622
Paul Miller Inc; DBA Paul Miller Audi,4.69,7032
Ed Napleton Honda,4.69,3808
Maguire Nissan of Syracuse,4.69,2430
Jaguar Land Rover Jacksonville,4.69,374
Milnes Chevrolet,4.69,266
MB Motors - Bellingham,4.68,132
Bomnin Chevrolet West Kendall,4.68,2796
Betten Baker Chevrolet Buick of Cadillac,4.68,316
Wolfchase Toyota,4.68,1386
O'Meara Buick GMC,4.68,309
Volkswagen of Alamo Heights,4.68,372
Clement Hyundai,4.68,3849
Perillo BMW,4.68,700
Serra Buick GMC Cadillac,4.68,4197
BMW MINI of Arlington,4.68,4688
Sterling McCall Toyota Fort Bend,4.68,3799
Crest Volvo Cars,4.68,6455
Porsche Towson,4.68,809
Advantage Hyundai,4.68,2993
Nalley Lexus; Roswell,4.68,5362
Genesee Valley Motors,4.68,751
Thompson Toyota,4.68,738
Patrick Mazda,4.68,785
Tim Short Mitsubishi,4.68,402
Steve White Volkswagen Audi - Greenville,4.68,2866
Checkered Flag Audi - Porsche,4.68,533
Stark on the Beltline,4.68,380
Carl Black Hiram,4.68,2761
Ira Acura Westwood,4.68,4303
#1 Cochran Chevrolet,4.68,588
AutoNation Subaru Scottsdale,4.68,9195
Westside Lexus,4.68,29758
Mountain View Nissan of Cleveland,4.68,223
Audi of Bedford,4.68,366
Round Rock Nissan,4.68,1470
Stewart Toyota,4.68,372
Buerkle Acura,4.68,3338
CarMax Phoenix-Gilbert - Now offering Curbside Pickup,4.68,481
Bill Luke Santan,4.68,6646
Tom,4.68,1232
Hyundai of South Brunswick,4.68,2723
Exclusive Automotive Group,4.68,232
Planet Subaru,4.68,1201
Ray Huffines Chevrolet Plano,4.68,1489
Bomnin Chevrolet Dadeland,4.68,40913
Hertz Car Sales Minneapolis,4.68,554
Volvo Cars of Marietta,4.68,2802
Gebhardt BMW,4.68,465
Haggerty Ford,4.68,1637
Corwin Toyota of Fargo,4.68,2992
Lipton Toyota,4.68,919
Largo Honda,4.68,6810
BrokersAndSellers.com,4.68,552
Al Serra Auto Plaza,4.68,12321
Lithia Chrysler Jeep Dodge Ram of Pocatello,4.68,263
Szott M-59 Dodge,4.68,2060
West Kendall Toyota,4.68,727
Cavender Toyota,4.68,4163
BMW Mt. Kisco,4.68,1052
Jones Preowned Superstore,4.68,933
Fitzgerald Buick GMC Rockville,4.68,904
Audi Tysons Corner,4.68,8730
CarMax Ft. Lauderdale - Now offering Curbside Pickup and Home Delivery,4.68,658
Showcase Honda,4.68,5371
Select Auto of Charlotte,4.68,320
Koons Kia Owings Mills,4.68,1128
Matt Mazzei Chevrolet,4.68,441
Don Johnson's Cumberland Motors Ford Chrysler Dodge Jeep RAM,4.68,963
Dublin INFINITI,4.68,304
Stohlman Subaru of Sterling,4.68,3638
Hertz Car Sales Orlando,4.68,759
Grubbs INFINITI,4.68,18528
CarMax Midlothian - Now offering Curbside Pickup and Home Delivery,4.68,712
Shottenkirk Chevrolet,4.68,1110
Fox Valley Volkswagen of St. Charles,4.68,1547
Napleton Hyundai of Carmel,4.68,1316
Ron Marhofer Buick GMC,4.68,830
Posner Park Chrysler Dodge Jeep Ram Fiat,4.68,1298
John Thornton Buick GMC,4.68,3398
Hawk Volkswagen of Joliet,4.68,201
Mercedes-Benz of Tysons Corner,4.68,6824
CarVision Mitsubishi,4.68,7504
Shaker's Family Hyundai,4.68,647
Findlay Subaru Prescott,4.68,649
J.O. Williams Ford,4.68,393
Ewing Subaru of Plano,4.68,8164
Germain Volkswagen of Columbus,4.68,180
AMP AUTO COLLECTION LLC,4.68,335
Toyota Santa Monica,4.68,2656
Sewell BMW of Grapevine,4.68,1744
City Chrysler Dodge Jeep Ram Fiat of Brookfield,4.68,988
Audi Bellevue,4.68,11989
Destination Nissan,4.68,17794
Audi Morton Grove,4.68,974
Dahl Automotive La Crosse,4.68,1355
Daniels Chevrolet Buick GMC Trucks,4.68,1945
Accelerate Auto Group,4.68,486
Liberty Hyundai,4.68,5156
West Herr Jeep,4.68,1216
Ourisman Volkswagen Volvo of Bethesda,4.68,1765
Ray Brandt Volkswagen,4.68,518
Hampstead Pre-Owned,4.68,2493
Jack Carroll's Skagit Hyundai,4.68,1267
Auto Use,4.68,129
Gill Auto Group Madera,4.68,2419
Dorsch Ford Lincoln KIA,4.68,2487
Hall Buick GMC,4.68,379
Aristocrat Motors Lee's Summit,4.68,104
CarMax Ellicott City - Now offering Curbside Pickup,4.68,413
LaFontaine Buick GMC of Ann Arbor,4.68,524
Crown Nissan,4.68,4707
Inver Grove Toyota,4.68,2314
Greenway Ford,4.68,13495
Audi Charlotte,4.68,4758
Liberty Mitsubishi,4.68,1320
CarMax Pleasanton - Now offering Curbside Pickup and Home Delivery,4.68,273
Cain BMW,4.68,455
Lexus of Manhattan,4.68,1420
Lexus of Watertown,4.68,10943
Lexus of Birmingham,4.68,5609
Inline Auto Sales,4.68,461
Moss Bros. Chrysler Jeep Dodge RAM of Riverside,4.68,1029
CarMax Loveland - Now offering Curbside Pickup and Home Delivery,4.68,214
Dublin Toyota,4.68,468
Sentry West Mazda,4.68,816
Bob Rohrman Schaumburg Kia,4.68,9838
Classic Mazda Westside,4.68,100
Porsche Salt Lake City,4.68,89
Mullinax Ford of West Palm Beach,4.68,766
Volvo Cars of Austin,4.68,566
Jim Ellis Buick GMC Mall of GA,4.68,18332
Certified Luxury Motors,4.67,430
Car Pros Kia Huntington Beach,4.67,611
Hertz Car Sales Scottsdale,4.67,1233
Ford of Columbia,4.67,466
Lindsay Honda,4.67,8393
Greenway Kia of Franklin,4.67,689
Armory Chrysler Dodge Jeep Ram FIAT,4.67,2710
HGreg Nissan Kendall,4.67,448
Miracle Ford,4.67,863
North Olmsted Chrysler Jeep Dodge RAM,4.67,752
Audi Grapevine,4.67,7995
Cross Chrysler Jeep Fiat,4.67,1484
EchoPark Automotive Nashville,4.67,751
Genesis Alfa Romeo FIAT,4.67,349
East Hills Chevrolet of Freeport,4.67,1675
AutoFair Honda,4.67,14288
James Ford,4.67,1220
Mark Motors,4.67,120
Honda Cars of Rockwall,4.67,938
Bergstrom Luxury on Victory Lane,4.67,1542
AutoNation Subaru Arapahoe,4.67,6571
Miami Lakes Automall - Chevrolet Kia Dodge Chrysler Jeep Ram Mitsubishi,4.67,17085
Subaru of Moon Township,4.67,684
Rockland Chrysler Dodge Jeep Ram,4.67,2416
McGrath City Mazda,4.67,88
Right Toyota,4.67,19511
Audi North Miami,4.67,2871
Ken Batchelor Cadillac,4.67,158
Bob Brown Buick GMC,4.67,795
Jim Shorkey Kia of Gainesville,4.67,1931
Automotive Imports,4.67,207
Champion Chevrolet of Avon,4.67,6833
Fitzgerald Toyota Gaithersburg,4.67,1951
Butler Chevrolet,4.67,232
Labadie Buick GMC,4.67,962
Napleton's Volkswagen of Orlando,4.67,799
Ken Ganley Ford West,4.67,1601
Safford Chrysler Jeep Dodge RAM Fiat of Winchester,4.67,1484
Bev Smith Kia,4.67,1017
Adams North Charlotte,4.67,1831
Oxmoor Chrysler,4.67,841
Ron Bouchard's Nissan,4.67,818
Val Ward Cadillac,4.67,520
Lehman Subaru,4.67,280
Berman Subaru of Chicago,4.67,995
Jack Daniels Audi of Paramus,4.67,3546
Quakertown Mitsubishi,4.67,175
Napleton Kia of Fishers,4.67,1070
Napleton Cadillac,4.67,105
Hudson Cadillac Buick GMC,4.67,1015
Ingersoll Auto of Danbury,4.67,883
Auto Holding 46,4.67,354
Gettel Hyundai of Charlotte County,4.67,1639
Huggard & Ewing,4.67,341
Hugh White Chevrolet Buick,4.67,213
Napleton Cadillac of Libertyville,4.67,642
Baierl Chevrolet,4.67,1768
Ford of Port Richey,4.67,6153
Stoops Automotive Group,4.67,7330
MINI of Stevens Creek,4.67,845
AutoNation Subaru West,4.67,3349
Forest Lake Chevrolet,4.67,9491
Allen Mello Chrysler Dodge Jeep RAM,4.67,799
Winner Chevrolet,4.67,371
Bachman Subaru,4.67,579
Capitol Kia,4.67,246
Route 46 Chrysler Jeep Dodge RAM,4.67,3163
AutoNation Honda East Las Vegas,4.67,12138
Route 18 Chrysler Jeep Dodge Ram,4.67,1540
EchoPark Automotive Centennial,4.67,7781
NEXCAR,4.67,181
AutoNation Toyota Las Vegas,4.67,17333
Lia Toyota of Colonie,4.67,1133
Wally's Ford of Seneca Falls,4.67,1026
Bev Smith Toyota,4.67,1256
Riverhead Buick GMC,4.67,156
Brentwood Auto Brokers,4.67,309
Southtowne Hyundai Of Newnan,4.67,4525
Lexus of Palm Beach,4.67,33596
Prestige Cadillac,4.67,857
Dadeland Dodge Chrysler Jeep RAM,4.67,1004
AutoNation Toyota Corpus Christi,4.67,5645
Sutherlin Nissan of Fort Pierce,4.67,1356
Morrie's Cadillac,4.67,854
Koons Sterling Ford,4.67,2637
King of Jamaica auto inc,4.67,43
Saratoga Honda,4.67,1449
CarYou,4.67,108
Larry H. Miller Chrysler Jeep Dodge RAM Boise,4.67,1728
CARSIRI QUEENS,4.67,308
Copeland Toyota Scion,4.67,1913
Crest Lincoln,4.67,2016
Sarant Cadillac,4.67,2579
Nissan of Boerne,4.67,489
Hyundai of Central Florida,4.67,433
Cadillac of New Orleans,4.67,246
Pat McGrath Chevyland,4.67,1299
Wood Nissan of Kansas City,4.67,1752
Freeway Ford,4.67,1054
MetroWest Subaru,4.67,2023
Ken Ganley Nissan Mayfield,4.67,1372
Angola Chrysler Dodge Jeep RAM,4.67,32
Mark's Discount Truck & Auto Sales,4.67,652
CarMax Oxnard - Now offering Curbside Pickup and Home Delivery,4.67,1116
AutoNation Nissan Miami,4.67,1219
West Metro Buick GMC,4.67,1813
Serra - Whelan Chevrolet,4.67,2904
Armen Cadillac; Inc.,4.67,238
AutoNation Chevrolet West Colonial,4.67,1560
Cerritos Dodge Chrysler Jeep RAM,4.67,178
Hertz Car Sales Roseville,4.67,284
AutoLenders Williamstown,4.67,1179
Tenneson Nissan,4.67,371
Orange Buick GMC,4.67,2424
Safford Chrysler Jeep Dodge RAM Fiat of Fredericksburg,4.67,2582
CarMax Louisville - Now offering Curbside Pickup,4.67,374
Alfa Romeo of Minneapolis,4.67,1689
AutoNation Toyota Weston,4.67,6611
One Toyota Of Oakland,4.67,8387
City Volkswagen Of Evanston,4.67,5540
AutoNation Toyota South Austin,4.67,1947
Mercedes-Benz of Springfield,4.67,756
Nalley Toyota of Roswell,4.67,3294
EchoPark Automotive Thornton,4.67,9344
Alexander Nissan,4.67,392
Alpha Luxury Motors,4.67,82
Benzel-Busch Motor Car,4.67,13907
Toyota On Western,4.67,153
Arrowhead Lexus,4.67,278
Lake Norman INFINITI,4.67,351
Arnie Bauer Cadillac,4.67,2127
Link Ford and RV Minong,4.67,315
IRA Lexus of Manchester,4.67,1219
Jerry Hunt Supercenter,4.67,2264
Maguire Chrysler Dodge Jeep RAM of Syracuse,4.67,1909
Sheehy Toyota of Laurel,4.67,827
Bob Johnson Certified Collection,4.67,150
Suburban Toyota of Farmington Hills,4.67,3169
David McDavid Honda Irving,4.67,7516
Columbia Ford Kia,4.67,3521
CarMax Cleveland East - Now offering Curbside Pickup,4.67,569
Kia of Streetsboro,4.67,435
Billion Auto - Buick GMC,4.67,924
Key Chevrolet Buick GMC Cadillac of Burlington,4.67,1198
Toyota Marin,4.67,7823
AutoNation Volkswagen Las Vegas,4.67,5459
Portage Ford Chrysler Dodge Jeep Ram,4.67,2638
Mall of Georgia Ford,4.67,2527
Berkshire Mazda,4.67,588
South Toyota,4.67,9813
Mac Haik Chevrolet,4.67,2936
Big Star Honda,4.67,2046
Cortland Chrysler Dodge Jeep RAM,4.67,863
Tacoma Subaru,4.67,292
Key Hyundai of Manchester,4.67,6795
Cadillac of Novi,4.67,1252
Tom Kadlec Honda,4.67,724
Monroe Superstore Dodge Chrysler Jeep RAM,4.67,340
James Wood AutoPark,4.67,2772
Gold Coast Cadillac,4.67,3266
MINI of Las Vegas,4.67,5587
Handy Toyota Inc,4.67,4584
Biener Audi,4.67,5617
Mike Young Buick GMC,4.67,128
Sewell Cadillac of Dallas,4.67,1624
Atlanta Motorsports Sales,4.67,138
#1 Cochran Nissan Monroeville,4.66,493
BMW of Las Vegas,4.66,11456
Faulkner Nissan of Harrisburg,4.66,375
Mercedes-Benz of Fort Washington,4.66,11960
AutoNation Ford Bradenton,4.66,4436
Don Franklin Somerset Kia,4.66,385
Anderson Chrysler Dodge Jeep RAM,4.66,111
Jaguar Land Rover Bethesda,4.66,2068
Walser Nissan Coon Rapids,4.66,705
Ira Toyota of Danvers,4.66,16681
Jim Coleman Nissan of Silver Spring,4.66,303
AutoNation Honda Costa Mesa,4.66,2567
ALM Newnan,4.66,505
Allen Turner Hyundai,4.66,21046
Mercedes-Benz of Louisville,4.66,8159
Ken Ganley Nissan Medina,4.66,1849
INFINITI of Clarendon Hills,4.66,3533
BMW of Loveland,4.66,1272
Wally's Chrysler Jeep Dodge Ram of Amsterdam,4.66,1888
AutoNation Chrysler Dodge Jeep Ram Roseville,4.66,5176
Fletcher Jones Imports,4.66,7197
Desoto Auto Sales,4.66,815
Sterling McCall Buick GMC,4.66,396
Mills Ford Lincoln Chrysler,4.66,594
Toyota of Richardson,4.66,8715
Chuck Nash Chevrolet; Buick; GMC,4.66,2218
AutoNation Toyota Arapahoe,4.66,7743
Tallahassee Ford Lincoln,4.66,1953
Superstition Springs Lexus,4.66,2172
Hertz Car Sales Seattle,4.66,453
Woodfield Lexus,4.66,6488
Lia INFINITI,4.66,1087
Gateway Toyota,4.66,1676
Reserve Auto Group,4.66,113
York Chrysler Dodge Jeep Ram of Plainfield,4.66,2921
Citi Auto Sales,4.66,744
Tulley BMW of Manchester,4.66,391
Croton Auto Park,4.66,510
HGreg.com Orlando,4.66,10755
Auffenberg Auto Mall,4.66,4724
CarMax Manchester - Now offering Curbside Pickup,4.66,1152
Lamborghini Paramus,4.66,212
Tasca Chevrolet,4.66,1299
Jim Marsh Kia,4.66,851
SVG Urbana,4.66,478
CarMax South Broadway - Now offering Curbside Pickup and Home Delivery,4.66,742
HGreg Nissan Buena Park,4.66,2302
Morganton Honda,4.66,345
Sewell Cadillac Grapevine,4.66,734
Martin Swanty Chrysler Dodge Jeep RAM,4.66,141
Ed Napleton Acura Kia,4.66,6313
AutoNation Honda Dulles,4.66,4541
Toyota of Paris,4.66,797
JT Wholesale Auto; Inc.,4.66,89
McLarty Nissan of Benton,4.66,2515
Hertz Car Sales Mesquite,4.66,450
Castle Buick GMC,4.66,962
JBA Motors; LLC,4.66,222
Coronet of Peru,4.66,610
Bob Johnson Auto Group,4.66,2978
Lexus of Woodland Hills,4.66,1458
Toyota of Massapequa,4.66,762
Eddy's Chevrolet Cadillac,4.66,1135
Country Buick GMC of Leesburg,4.66,79
Warren Henry Auto Group,4.66,3346
Ted Britt Ford Lincoln of Chantilly,4.66,3094
Benson Kia,4.66,337
Auto Boutique Texas,4.66,1338
Nissan of Cookeville,4.66,4914
Ray Catena Mercedes Benz Freehold,4.66,740
Hertz Car Sales Jacksonville,4.66,897
Lexus of Clearwater,4.66,4437
Bill Kay Downers Grove Nissan,4.66,2205
Wholesale Auto Purchasing,4.66,46
Concord Toyota,4.66,2733
Koons Lexus of Wilmington,4.66,2669
Blaise Alexander Chevrolet of Greencastle,4.66,285
Champion Chevrolet of Howell,4.66,1184
Sheehy Volkswagen of Springfield,4.66,698
BMW of Devon,4.66,21063
Courtesy Kia,4.66,3042
Randy Marion Chrysler Dodge Jeep RAM,4.66,475
Rusty Eck Ford,4.66,2651
Ed Carroll Motor Co.,4.66,167
Acura Carland,4.66,1309
Coggin Toyota at the Avenues,4.66,2867
McGrath Acura of Libertyville,4.66,1104
Rick Hendrick Buick GMC,4.66,1630
Auto Palace,4.66,3924
Crystal Lake Chrysler Dodge Jeep Ram,4.66,2745
ALM Mall of GA,4.66,1639
EchoPark Automotive Pensacola Delivery Center,4.66,197
McGeorge Toyota Certified Sales Center,4.66,398
BBC Motorsports,4.66,69
Mercedes-Benz of Pembroke Pines,4.66,20034
The Sharpest Rides,4.66,1909
Hart Nissan of Nova,4.66,414
CarLotz Tampa,4.66,1038
EchoPark Automotive Tampa,4.66,795
Fletcher Jones Motorcars of Fremont,4.66,3625
Zeigler Buick GMC of Lincolnwood,4.66,4008
BMW of Rockville,4.66,27132
Boch Nissan,4.66,1167
Towne Volkswagen Audi Buffalo,4.66,395
Northshore Toyota,4.66,1016
Jaffarian Volvo Cars,4.65,858
Sheehy Ford of Springfield,4.65,871
Midway Nissan,4.65,1174
RPT Sales & Leasing,4.65,139
Raymond Chevrolet-Kia,4.65,1710
Acura by Executive,4.65,2454
Christy Chevrolet Buick Inc,4.65,711
AutoNation Audi Volkswagen Spokane,4.65,1885
Audi Sugar Land,4.65,48
Mills GM,4.65,284
Sewell Cadillac,4.65,825
Kendall Toyota,4.65,1522
Reedman-Toll Auto World,4.65,237
Jimmy Britt Chrysler Dodge Jeep Ram,4.65,833
Whitten Of Ashland,4.65,563
Napleton Hyundai; Genesis of Hazelwood,4.65,6924
Union Park Honda BMW Buick GMC Volvo Cars Jaguar,4.65,543
Laura Buick GMC,4.65,5821
Sharp Automotive,4.65,731
Kimberly Car City,4.65,810
New England Automax - Framingham,4.65,16960
Covert Cadillac,4.65,3282
Peterson Chrysler Jeep Dodge,4.65,1477
Tropical Ford,4.65,2052
Paul Brown Chrysler Dodge Jeep RAM Kia,4.65,269
Landers Toyota of Northwest Arkansas,4.65,21583
Karl Chevrolet,4.65,1120
Bolles Motors,4.65,1690
Glenn Chrysler Dodge Jeep Ram,4.65,93
EchoPark Automotive Charleston Delivery Center,4.65,3005
Betley Chevrolet Inc,4.65,889
Vaden of Beaufort,4.65,1025
Volkswagen of Lee's Summit,4.65,1506
Mercedes-Benz of Plano,4.65,11042
CarMax Winston-Salem - Now offering Curbside Pickup and Home Delivery,4.65,969
Jay Wolfe Honda,4.65,2094
Montrose Buick GMC,4.65,890
Budget Car Sales,4.65,316
AutoNation Honda Columbus,4.65,2470
Coral Springs Buick GMC,4.65,2358
Jupiter Chevrolet Inc,4.65,221
Suburban Chrysler Dodge Jeep RAM of Troy,4.65,1951
CarMax Fayetteville - Now offering Curbside Pickup and Home Delivery,4.65,80
Champion Hargreaves Chevrolet,4.65,904
AutoNation Ford Wolfchase,4.65,1340
Waldorf Chevrolet Cadillac,4.65,615
Ira Toyota of Hyannis,4.65,2346
Bay Ridge Toyota,4.65,746
Lehman Hyundai,4.65,1760
LeValley Chevrolet Buick GMC,4.65,876
BMW of North Haven,4.65,4084
Ourisman of Rockville ,4.65,3207
Motor Werks - Barrington Auto Mall,4.65,24622
Thornhill Motor Company,4.65,874
Mercedes-Benz of Stevens Creek,4.65,28750
Happy Hyundai,4.65,894
Mercedes-Benz of Reno,4.65,1644
Tom Dolan's Reno KIA,4.65,641
DCH Freehold Toyota,4.65,8967
BMW Fresno,4.65,1407
I-5 Chrysler Dodge Jeep RAM,4.65,155
Boulder Chrysler Dodge RAM,4.65,225
Livonia Chrysler Jeep,4.65,922
Hickory Used Car Superstore,4.65,734
BMW of Mountain View,4.65,5156
Toyota Direct,4.65,1413
AutoNation Hyundai O'Hare,4.65,3199
Amesbury Chevrolet,4.65,107
LAX Automotive,4.65,330
O'Brien Toyota of Peoria,4.65,517
Jeff Schmitt Nissan,4.65,888
Lithia Chrysler Jeep Dodge of Medford,4.65,943
Mastria Nissan,4.65,378
Reymore Chevrolet Sales; Inc.,4.65,328
Everett Chevrolet Buick GMC Cadillac,4.65,8720
Brad Deery Motors,4.65,1572
Classic Chrysler Dodge Jeep Ram Fiat,4.65,4910
Ted Britt Ford - We Will Buy Your Car,4.65,997
Price Leblanc Nissan,4.65,209
Peter,4.65,1008
Mercedes-Benz of Fort Mitchell,4.65,657
Porsche Atlanta Perimeter,4.65,9955
Gary Yeomans Ford Palm Bay,4.65,988
West Herr Nissan of Lockport,4.65,248
Sport City Toyota,4.65,5525
Towne Hyundai,4.65,1494
CarMax Rivergate - Now offering Curbside Pickup,4.65,581
Richard,4.65,989
Reliable Chevrolet,4.65,3973
Carter Acura,4.65,300
Albrecht Buick GMC of Wakefield,4.65,505
CarMax Texas Stadium (Irving) - Now offering Curbside Pickup and Home Delivery,4.65,1213
Global Imports BMW,4.65,5756
Kelly INFINITI,4.65,2156
Luther Cadillac,4.65,1816
Timeless Motorcars,4.65,126
Selden Motors,4.65,142
Baron BMW MINI,4.65,11231
Stars Auto Sales,4.65,516
Imperial Hyundai,4.65,1614
AutoMax Hyundai Norman,4.65,2230
Carmel Auto Gallery,4.65,322
Oxmoor Toyota,4.65,704
Serra Auto Campus,4.65,108
Platinum Chevrolet Cadillac,4.65,85
CarMax Mechanicsburg - Now offering Curbside Pickup,4.65,554
Elgin Chrysler Dodge Jeep Ram,4.65,820
Cavender Cadillac,4.65,526
World Imports USA,4.65,740
George Coleman Ford,4.65,642
Mercedes-Benz of Easton,4.65,2187
Honda of Denton,4.65,2112
Orlando INFINITI,4.65,2523
Meyer Motors,4.65,282
Tejas Toyota,4.65,1410
McGee Chevrolet,4.65,724
CarSmart.net,4.65,1080
Jeff Smith Ford ,4.64,406
Douglass Mazda,4.64,255
Rick Hendrick Chrysler Dodge Jeep RAM Duluth,4.64,12335
Mercedes-Benz of Atlanta Northeast,4.64,17170
Kimber Creek Ford,4.64,317
Safford Chrysler Jeep Dodge RAM of Warrenton,4.64,655
Braman Cadillac,4.64,543
Lexus of Cerritos,4.64,11605
Vandergriff Honda,4.64,19949
Hiley Acura,4.64,499
Mercedes-Benz of Pompano,4.64,4350
AutoNation USA Henderson,4.64,2081
EchoPark Automotive Chattanooga Delivery Center,4.64,643
Heartland Chrysler Dodge Jeep Ram - Arkansas,4.64,364
Southern Trust Auto Group,4.64,143
AutoNation Toyota Spokane Valley,4.64,3858
Eastchester Chrysler Jeep Dodge RAM,4.64,19585
Fairless Motors,4.64,414
Audi Eatontown,4.64,488
Hertrich Capitol Mazda,4.64,450
Freeway Toyota of Hanford,4.64,291
BMW of Sterling,4.64,8652
North City Honda,4.64,642
Chevrolet of Smithtown,4.64,585
Sandia BMW MINI,4.64,586
For Less Autohaus,4.64,74
CarMax King of Prussia - Now offering Curbside Pickup,4.64,265
North Imports,4.64,1382
Davis Honda,4.64,2062
Long Cadillac,4.64,96
CG Luxury Autos,4.64,258
Crown Chrysler Dodge Jeep Ram Greensboro,4.64,417
VanDevere Buick Kia,4.64,3244
Concordville Nissan,4.64,1409
Sterling Motorsport,4.64,578
Kevin,4.64,297
Guirong,4.64,1515
Nissan of Bradenton,4.64,2589
Sewell INFINITI of Fort Worth,4.64,1398
Team Nissan,4.64,3798
Bergstrom Ford Lincoln of the Fox Valley,4.64,1128
Mercedes-Benz of Houston North,4.64,25499
Star Nissan,4.64,2463
TJ Chapman Auto LLC,4.64,983
SMH Auto Sales,4.64,602
Classic Chevrolet Sugar Land,4.64,8722
EchoPark Automotive Knoxville Delivery Center,4.64,827
Ken Stoepel Ford,4.64,602
Lindsay Volvo Cars,4.64,478
Motorwerks BMW,4.64,6907
Marin Imports,4.64,256
Subaru of South Hills,4.64,2677
Audi Dominion,4.64,1386
White Plains Honda,4.64,5664
Walser Buick GMC Bloomington,4.64,1448
My Auto Import Center,4.64,4264
Towne Auto Group Southwestern Blvd,4.64,132
Team Chevrolet,4.64,402
Lokey Kia,4.64,16428
Buckeye Nissan,4.64,365
Bryan College Station Toyota ,4.64,366
Honda Stratham,4.64,2401
Betten Baker GMC of Cadillac,4.64,67
Rod Hatfield Used Car Factory,4.64,284
Cornerstone Ford Chrysler,4.64,1399
Liberty Ford Brunswick,4.64,1992
Malloy Toyota,4.64,113
Moran Buick GMC,4.64,688
Galaxy Toyota,4.64,1242
Egglefield Bros.; Inc.,4.64,296
Gillman Subaru of San Antonio,4.64,221
AutoNation Toyota Pinellas Park,4.64,12073
Harper Chrysler Dodge Jeep RAM,4.64,123
Classic Buick GMC,4.64,337
New England Automax - Marlborough,4.64,1682
AutoNation Ford Burleson,4.64,5011
Fox Toyota Volkswagen,4.64,438
Trophy Nissan,4.64,6226
Platinum Motorcars of Las Vegas - East,4.64,73
Terryville Chevrolet,4.64,207
McDaniels Acura/Audi,4.64,127
AutoNation Chrysler Jeep Arapahoe,4.64,3210
City Auto,4.64,326
McGee Family Used Cars,4.64,378
Sir Walter Chevrolet,4.64,581
Performance Chrysler Jeep Dodge RAM Centerville,4.64,2398
Faulkner INFINITI of Willow Grove,4.64,490
Way Scarff Ford in Auburn,4.64,559
Ray Brandt Toyota,4.64,4973
Kia of Jamestown,4.64,176
McGrath Honda in Elgin,4.64,4094
Subaru of Pembroke Pines,4.64,4245
Boise Volkswagen,4.64,1292
Andy Mohr Buick GMC,4.64,3445
Toyota Hyundai of Southern Maryland,4.64,1562
Courtesy Nissan,4.64,3024
Jerry Ulm Dodge Chrysler RAM,4.64,15954
West Herr Ford of Rochester,4.64,173
Bernardi Toyota,4.64,1176
Lexus of Lehigh Valley,4.64,590
Dodge RAM of Burnsville,4.64,787
Barry Automotive Group,4.63,1287
Boch Toyota,4.63,4251
Victorville Chevrolet Cadillac,4.63,2141
Greenville Chrysler,4.63,5384
Mercedes-Benz Of Oklahoma City,4.63,829
AutoNation USA Corpus Christi,4.63,83
Toyota of Fox Lake,4.63,194
Lexus of West Kendall,4.63,2087
Cook GM Superstore,4.63,750
Sheehy Ford of Warrenton,4.63,578
Foundation Chevrolet & Cadillac,4.63,321
Kia of Clermont,4.63,179
BMW of Denver Downtown,4.63,5262
Porsche St. Louis,4.63,377
Admiral Motors,4.63,381
Driver's Village,4.63,3420
VW Audi of Naples,4.63,4821
Executive Volkswagen,4.63,324
Autolenders Lawrenceville,4.63,964
BMW of Dallas,4.63,8301
AutoNation Toyota Thornton Road,4.63,2849
CarMax Murfreesboro - Now offering Curbside Pickup,4.63,367
Criswell in Annapolis; MD,4.63,326
Sanford INFINITI,4.63,2096
Mike Anderson Chevrolet of Chicago,4.63,540
Ken Ganley Kia Medina,4.63,1615
Perkins Motor Plex Jackson,4.63,36
Oakland Acura,4.63,551
Keith Hawthorne Ford of Belmont,4.63,1545
AutoNation INFINITI Tustin,4.63,2144
Performance Ford Lincoln Bountiful,4.63,1342
Lexus of Cool Springs,4.63,311
Jaguar Land Rover South Bay,4.63,3128
Gravity Autos Roswell,4.63,385
Audi Plano,4.63,16357
United BMW,4.63,10050
New Century BMW,4.63,1175
Jaguar Land Rover Dallas,4.63,2350
Bachman Volkswagen,4.63,916
Nissan of Streetsboro,4.63,550
Leman's Chevy City,4.63,790
Performance Chrysler Jeep Dodge RAM,4.63,1742
TX Auto Group,4.63,917
Morrie's Minnetonka Mazda,4.63,2398
