Year,Make,Model,average buyer rating,# of buyers,average seller rating,# of sellers,,,adjusted buyer ranking,adjusted sellers ranking,,buyer rating reliability,seller rating reliability,,final ranking
2021,Chevrolet,Tahoe Z71,4.5,370,4.62,7154,,,4.5,4.62,,100.0,100.0,,4.56
2017,Acura,MDX 3.5L w/Advance Package,4.6,133,3.4,85,,,4.6,3.4,,99.99,100.0,,4.0
2007,Toyota,RAV4 Sport,4.3,135,4.6,151,,,4.3,4.6,,99.99,100.0,,4.45
2015,Chevrolet,Suburban 1500 LT,4.6,154,4.5,338,,,4.6,4.5,,100.0,100.0,,4.55
2016,Ford,F-150 XLT,4.6,782,4.87,381,,,4.6,4.87,,100.0,100.0,,4.73
2020,Acura,MDX 3.5L w/Technology Package,4.9,900,4.71,17481,,,4.9,4.71,,100.0,100.0,,4.8
2019,Toyota,Tundra SR5,4.8,1512,4.65,7122,,,4.8,4.65,,100.0,100.0,,4.72
2021,Cadillac,Escalade Sport,2.9,171,4.82,13802,,,2.9,4.82,,100.0,100.0,,3.86
2020,Chrysler,300 S,4.8,36,4.4,963,,,3.97,4.4,,16.99,100.0,,4.34
2018,Honda,Civic LX,4.8,2730,4.79,3630,,,4.8,4.79,,100.0,100.0,,4.79
2013,Mercedes-Benz,SL-Class SL 550,4.6,39,4.81,7029,,,3.82,4.81,,22.33,100.0,,4.63
2020,INFINITI,QX60 Pure,4.8,390,4.78,15520,,,4.8,4.78,,100.0,100.0,,4.79
2019,BMW,X5 xDrive40i,4.7,6270,4.68,105037,,,4.7,4.68,,100.0,100.0,,4.69
2012,Kia,Sorento SX,4.4,462,4.67,1545,,,4.4,4.67,,100.0,100.0,,4.54
2003,Ford,Taurus SES,4.2,62,4.4,77,,,4.0,4.4,,79.58,100.0,,4.22
2020,Lexus,RX 350 Base,4.8,1596,4.65,15292,,,4.8,4.65,,100.0,100.0,,4.72
2020,Kia,Sorento LX,4.7,1748,4.63,17792,,,4.7,4.63,,100.0,100.0,,4.67
2010,Lexus,LS 460 Base,4.7,54,4.71,79,,,4.31,4.71,,61.14,100.0,,4.56
2019,Chevrolet,Silverado 1500 Custom,4.3,980,4.82,6503,,,4.3,4.82,,100.0,100.0,,4.56
2015,BMW,328 i,4.7,428,4.63,1637,,,4.7,4.63,,100.0,100.0,,4.67
2021,Porsche,Macan GTS,4.9,15,4.85,1669,,,3.92,4.85,,1.86,100.0,,4.83
2021,Land,Rover Range Rover Sport HSE Silver Edition,4.8,6,4.7,1381,,,3.81,4.7,,0.68,100.0,,4.69
2018,BMW,320 320i xDrive,4.9,50,5.0,10,,,4.4,4.03,,50.0,3.4,,4.38
2002,BMW,540 i,4.6,13,5.0,10,,,3.61,4.03,,1.49,3.4,,3.91
2019,Mazda,Mazda3 AWD w/Preferred Package,4.8,72,4.57,1665,,,4.72,4.57,,92.37,100.0,,4.64
2019,Genesis,G80 3.8,4.7,140,4.6,6431,,,4.7,4.6,,100.0,100.0,,4.65
2020,Tesla,Model Y Long Range,3.7,300,4.61,16600,,,3.7,4.61,,100.0,100.0,,4.15
2013,Toyota,Highlander Base Plus,4.7,140,4.7,780,,,4.7,4.7,,100.0,100.0,,4.7
2019,Jeep,Grand Cherokee Altitude,4.8,3808,4.76,19352,,,4.8,4.76,,100.0,100.0,,4.78
2020,Acura,MDX 3.5L,4.9,650,4.76,22005,,,4.9,4.76,,100.0,100.0,,4.83
2017,BMW,M3 Base,4.7,22,4.11,815,,,3.74,4.11,,4.02,100.0,,4.1
2020,Toyota,Tacoma SR,4.7,246,4.23,192,,,4.7,4.23,,100.0,100.0,,4.46
2021,Tesla,Model Y Long Range,4.0,480,4.79,42994,,,4.0,4.79,,100.0,100.0,,4.39
2013,Porsche,Boxster S,4.7,40,4.8,992,,,3.94,4.8,,24.36,100.0,,4.63
2010,Mazda,Mazda6 s Grand Touring,4.6,60,4.1,129,,,4.36,4.1,,75.64,100.0,,4.21
2018,Toyota,4Runner Limited,4.8,4301,4.66,17051,,,4.8,4.66,,100.0,100.0,,4.73
2019,Subaru,Forester,4.7,2232,4.67,5806,,,4.7,4.67,,100.0,100.0,,4.69
2018,Cadillac,XT5 Premium Luxury,4.8,131,4.7,195,,,4.8,4.7,,99.99,100.0,,4.75
2019,BMW,X3 sDrive30i,4.7,1485,4.57,13684,,,4.7,4.57,,100.0,100.0,,4.63
2012,Toyota,4Runner Limited,4.7,34,4.7,26,,,3.84,4.26,,14.02,55.56,,4.17
2018,Honda,Civic EX-T,4.8,1092,4.39,1073,,,4.8,4.39,,100.0,100.0,,4.59
2020,Toyota,Corolla SE,4.7,1864,4.61,5699,,,4.7,4.61,,100.0,100.0,,4.66
2020,Ford,Expedition Max Limited,4.5,45,4.51,766,,,3.86,4.51,,36.2,100.0,,4.34
2022,Honda,Pilot Elite,5.0,2,4.2,130,,,4.0,4.2,,0.43,100.0,,4.2
2014,Subaru,Forester 2.5i,4.4,214,4.3,548,,,4.4,4.3,,100.0,100.0,,4.35
2020,Ford,Edge Titanium,4.9,1692,4.67,8095,,,4.9,4.67,,100.0,100.0,,4.79
2019,Chevrolet,Silverado 1500 RST,4.3,490,4.22,5,,,4.3,3.23,,100.0,1.14,,4.29
2020,Lexus,RX 450hL Base,5.0,1,4.3,97,,,4.0,4.3,,0.39,100.0,,4.3
2021,Subaru,Forester Premium,4.9,763,4.61,6318,,,4.9,4.61,,100.0,100.0,,4.76
2019,Volvo,XC60 T5 Inscription,4.9,492,4.66,7670,,,4.9,4.66,,100.0,100.0,,4.78
2019,Volvo,XC40 T5 R-Design,4.8,309,4.75,3422,,,4.8,4.75,,100.0,100.0,,4.77
2020,BMW,X5 sDrive40i,4.7,636,4.72,9615,,,4.7,4.72,,100.0,100.0,,4.71
2019,Mazda,CX-5 Grand Touring,4.8,11960,4.65,31291,,,4.8,4.65,,100.0,100.0,,4.72
2019,Toyota,4Runner Limited,4.8,2268,4.7,16704,,,4.8,4.7,,100.0,100.0,,4.75
2019,BMW,M850 i xDrive,5.0,35,4.6,11616,,,4.15,4.6,,15.45,100.0,,4.54
2020,Dodge,Challenger SXT,4.9,432,4.72,9265,,,4.9,4.72,,100.0,100.0,,4.81
2021,Tesla,Model 3 Performance,3.0,9,4.74,5442,,,2.01,4.74,,0.95,100.0,,4.71
2018,Hyundai,Santa Fe Limited Ultimate,4.7,225,4.55,420,,,4.7,4.55,,100.0,100.0,,4.62
2019,Ford,F-150 XLT,4.8,8500,4.7,10996,,,4.8,4.7,,100.0,100.0,,4.75
2019,BMW,330 i xDrive,4.9,1260,4.7,38551,,,4.9,4.7,,100.0,100.0,,4.8
2019,Honda,CR-V EX,4.8,34020,4.72,99473,,,4.8,4.72,,100.0,100.0,,4.76
2016,Toyota,4Runner Trail Premium,4.7,560,4.28,1309,,,4.7,4.28,,100.0,100.0,,4.49
2017,Subaru,Impreza 2.0i,4.8,350,4.5,30,,,4.8,4.25,,100.0,75.32,,4.57
2004,Toyota,Highlander Base,4.5,94,4.9,4,,,4.49,3.91,,99.32,0.91,,4.49
2003,Lexus,RX 300,4.8,22,4.6,383,,,3.84,4.6,,4.02,100.0,,4.57
2019,Honda,CR-V EX-L,4.8,81000,4.75,263166,,,4.8,4.75,,100.0,100.0,,4.78
2019,Toyota,4Runner SR5,4.8,378,4.19,675,,,4.8,4.19,,100.0,100.0,,4.5
2019,BMW,X7 xDrive50i,4.1,242,4.69,4550,,,4.1,4.69,,100.0,100.0,,4.39
2008,Mercedes-Benz,S-Class S 550 4MATIC,4.8,86,3.6,64,,,4.78,3.6,,98.34,99.98,,4.19
2020,Acura,TLX FWD,4.9,320,4.64,9472,,,4.9,4.64,,100.0,100.0,,4.77
2018,Toyota,RAV4 XLE,4.8,26180,4.71,61974,,,4.8,4.71,,100.0,100.0,,4.75
2019,Honda,Accord EX-L 1.5T,4.7,223,4.3,62,,,4.7,4.3,,100.0,99.97,,4.5
2020,Mercedes-Benz,GLE 350 Base 4MATIC,4.3,3075,4.69,41139,,,4.3,4.69,,100.0,100.0,,4.5
2019,BMW,330 i,4.9,990,4.62,33609,,,4.9,4.62,,100.0,100.0,,4.76
2019,BMW,X3 M40i,4.7,198,4.78,1718,,,4.7,4.78,,100.0,100.0,,4.74
2021,Audi,Q3 45 S line Premium,5.0,128,4.78,10432,,,5.0,4.78,,99.99,100.0,,4.89
2019,Mercedes-Benz,GLC 300 Base 4MATIC,4.6,2160,4.7,23506,,,4.6,4.7,,100.0,100.0,,4.65
2021,BMW,X5 PHEV xDrive45e,4.6,5,4.8,585,,,3.61,4.8,,0.61,100.0,,4.79
2018,Audi,S5 3.0T Prestige,4.7,168,4.62,2048,,,4.7,4.62,,100.0,100.0,,4.66
2019,Honda,Pilot EX-L,4.8,13380,4.78,79348,,,4.8,4.78,,100.0,100.0,,4.79
2020,Chevrolet,Spark LS,4.7,156,4.48,1688,,,4.7,4.48,,100.0,100.0,,4.59
2019,Hyundai,Elantra SE,4.7,396,4.87,692,,,4.7,4.87,,100.0,100.0,,4.79
2012,Mercedes-Benz,S-Class S 550 4MATIC,4.8,108,4.5,507,,,4.8,4.5,,99.86,100.0,,4.65
2020,Nissan,Frontier PRO-4X,4.6,62,4.44,459,,,4.4,4.44,,79.58,100.0,,4.42
2018,Honda,Accord EX-L 1.5T,4.8,652,4.0,4,,,4.8,3.01,,100.0,0.91,,4.78
2019,Jeep,Grand Cherokee Limited,4.8,24192,4.73,151759,,,4.8,4.73,,100.0,100.0,,4.77
2010,BMW,128 128i,4.7,10,4.1,49,,,3.71,4.1,,1.06,99.53,,4.09
2004,Lexus,LS 430 Base (A6),4.8,44,4.7,363,,,4.14,4.7,,33.63,100.0,,4.56
2016,Audi,A7 3.0T Prestige,4.7,54,4.7,1208,,,4.31,4.7,,61.14,100.0,,4.55
2020,Mazda,Mazda6 Sport,4.9,22,4.9,3110,,,3.94,4.9,,4.02,100.0,,4.86
2016,Hyundai,Sonata Hybrid SE,4.8,31,4.5,145,,,3.9,4.5,,10.4,100.0,,4.44
2017,Alfa,Romeo Giulia Ti,4.7,196,4.67,1036,,,4.7,4.67,,100.0,100.0,,4.68
2019,Mercedes-Benz,CLA 250 Base,4.1,272,4.58,16503,,,4.1,4.58,,100.0,100.0,,4.34
2017,Toyota,Corolla LE,4.7,1143,3.4,144,,,4.7,3.4,,100.0,100.0,,4.05
2016,Acura,MDX 3.5L w/Technology Package,4.6,228,4.28,1448,,,4.6,4.28,,100.0,100.0,,4.44
2019,Honda,Civic LX,4.9,5500,4.67,29652,,,4.9,4.67,,100.0,100.0,,4.79
2008,Lexus,RX 350 Base (A5),4.6,79,3.8,15,,,4.56,2.9,,96.4,9.7,,4.41
2020,Acura,ILX Premium & A-SPEC Packages,4.5,16,4.8,557,,,3.52,4.8,,2.08,100.0,,4.77
2006,Toyota,Highlander Limited w/3rd Row,4.7,57,4.7,92,,,4.39,4.7,,68.85,100.0,,4.57
2019,BMW,M550 i Xdrive,4.5,3,2.8,40,,,3.5,2.77,,0.48,96.6,,2.77
2020,BMW,M4 Base,4.9,5,4.69,8345,,,3.91,4.69,,0.61,100.0,,4.69
2019,Volkswagen,Tiguan 2.0T SE,4.5,1088,4.36,15200,,,4.5,4.36,,100.0,100.0,,4.43
2021,Cadillac,XT6 Premium Luxury AWD,4.9,36,4.78,819,,,4.07,4.78,,16.99,100.0,,4.68
2020,Chevrolet,Blazer Premier,4.7,67,4.8,131,,,4.57,4.8,,87.29,100.0,,4.69
2012,Porsche,911 Targa 4,4.8,37,4.8,1,,,3.99,3.8,,18.64,0.47,,3.98
2019,Mercedes-Benz,C-Class C 300,4.8,1280,4.69,44968,,,4.8,4.69,,100.0,100.0,,4.75
2015,Mercedes-Benz,E-Class E 400,4.8,61,4.4,1071,,,4.58,4.4,,77.67,100.0,,4.48
2018,Audi,A3 2.0T Prestige,4.9,34,4.0,116,,,4.04,4.0,,14.02,100.0,,4.0
2017,Jeep,Grand Cherokee Limited,4.8,8016,4.64,15247,,,4.8,4.64,,100.0,100.0,,4.72
2018,Subaru,Outback 2.5i Limited,4.7,3560,4.52,6559,,,4.7,4.52,,100.0,100.0,,4.61
2015,Porsche,Cayenne S,4.9,52,2.95,30,,,4.46,2.7,,55.64,75.32,,3.45
2020,BMW,X5 xDrive40i,4.7,2014,4.75,43058,,,4.7,4.75,,100.0,100.0,,4.72
2012,Lexus,RX 350 Base,4.8,146,4.58,184,,,4.8,4.58,,100.0,100.0,,4.69
2017,Buick,LaCrosse Premium,4.8,285,4.38,339,,,4.8,4.38,,100.0,100.0,,4.59
2017,Cadillac,XT5 Luxury,4.6,990,4.74,3791,,,4.6,4.74,,100.0,100.0,,4.67
2018,BMW,X3 xDrive30i,4.8,1024,4.64,11753,,,4.8,4.64,,100.0,100.0,,4.72
2021,Tesla,Model Y Performance,4.0,150,4.58,5396,,,4.0,4.58,,100.0,100.0,,4.29
2019,INFINITI,QX50 ESSENTIAL,4.7,2349,4.67,20719,,,4.7,4.67,,100.0,100.0,,4.69
2021,Mazda,Mazda3 FWD w/Preferred Package,4.9,36,4.7,4174,,,4.07,4.7,,16.99,100.0,,4.61
2021,Kia,Forte FE,4.8,92,4.48,621,,,4.79,4.48,,99.15,100.0,,4.64
2018,Nissan,Murano SL,4.8,346,4.66,9200,,,4.8,4.66,,100.0,100.0,,4.73
2016,Chevrolet,Corvette Stingray Z51,4.8,256,4.77,553,,,4.8,4.77,,100.0,100.0,,4.78
2018,Lincoln,MKZ Select,4.9,45,5.0,3,,,4.26,4.01,,36.2,0.73,,4.26
2019,Mercedes-Benz,AMG GLE 43 4MATIC Coupe,5.0,210,4.71,22862,,,5.0,4.71,,100.0,100.0,,4.85
2021,Ford,F-150 Lariat,4.8,948,4.68,8413,,,4.8,4.68,,100.0,100.0,,4.74
2019,Volkswagen,Arteon 2.0T SEL Premium R-Line,4.7,22,4.8,450,,,3.74,4.8,,4.02,100.0,,4.76
