Year,Make,Model,Used/New,Price
2020,Ford,EcoSport S,Used,21519
2019,Audi,Q8 3.0T Premium,Used,66777
2019,BMW,X1 sDrive28i,BMW Certified,36995
2019,Audi,Q8 3.0T Premium,Used,60000
2022,BMW,X2 xDrive28i,Used,40995
2017,Lincoln,MKC Reserve,Used,26500
2015,GMC,Sierra 2500 Denali,Used,52998
2015,Acura,RDX Technology Package,Used,22433
2017,Ford,Explorer sport,Used,33998
2020,Volkswagen,Tiguan 2.0T SE,Used,29499
2019,BMW,X5 xDrive40i,Used,52999
2020,BMW,X3 sDrive30i,Used,38998
2022,Hyundai,Santa Fe SEL,Used,33236
2018,Mercedes-Benz,GLS 450 Base 4MATIC,Used,49920
2018,Toyota,RAV4 LE,Used,27998
2019,BMW,330 i,BMW Certified,51995
2016,Acura,MDX 3.5L w/Technology Package,Used,28997
2021,Kia,Forte FE,Used,21291
2016,Chevrolet,Suburban LT,Used,34855
2021,Ford,F-150 Lariat,Used,64950
2015,Subaru,Outback 3.6R Limited,Used,20590
2019,Subaru,Crosstrek 2.0i Limited,Used,33391
2019,Subaru,Ascent Limited 7-Passenger,Used,35498
2019,Audi,Q5 2.0T Premium Plus,Used,35498
2019,BMW,X5 xDrive40i,Used,61500
2018,Volvo,XC60 T6 Momentum,Volvo Certified,36968
2019,Lincoln,MKC Reserve,Used,33998
2021,Dodge,Charger R/T,Used,43000
2020,Lincoln,MKZ Reserve,Used,42500
2020,Volkswagen,Jetta 1.4T S,Used,24498
2019,Porsche,Cayenne Base,Porsche Certified,71995
2021,Lexus,LX 570 Three-Row,Used,98998
2018,Cadillac,XT5 Luxury,Used,29926
2018,Ford,Flex Limited,Used,25611
2016,Toyota,Sequoia Platinum,Used,37500
2017,Jeep,Grand Cherokee Limited,Used,30600
2019,Lincoln,MKC Reserve,Used,33471
2021,Mercedes-Benz,GLC 300 Base 4MATIC,Used,48499
2020,RAM,1500 Laramie,Used,52995
2006,Toyota,Tundra SR5,Used,11450
2019,Cadillac,XT5 Luxury,Cadillac Certified,39990
2018,BMW,X1 xDrive28i,Used,31990
2020,Subaru,Crosstrek Premium,Used,27186
2017,Mercedes-Benz,GLS 450 Base 4MATIC,Used,39995
2019,Audi,RS 5 2.9T,Used,71971
2021,Mercedes-Benz,GLE 350 Base 4MATIC,Mercedes-Benz Certified,65999
2020,BMW,M340 i xDrive,Used,51209
2018,Mercedes-Benz,E-Class E 400 4MATIC,Used,62789
2018,Tesla,Model S 75D,Used,65500
2010,Chevrolet,Equinox LS,Used,5099
2019,BMW,X7 xDrive50i,BMW Certified,72401
2019,Buick,Encore Essence,Buick Certified,27455
2013,Toyota,Highlander Base,Used,15900
2019,Acura,MDX 3.5L,Used,39803
2020,Mercedes-Benz,GLC 300 Base 4MATIC,Used,48333
2020,Buick,Encore Preferred,Used,21987
2019,Jeep,Compass Trailhawk,Jeep Certified,26998
2020,Mercedes-Benz,GLE 350 Base,Mercedes-Benz Certified,61193
2022,Honda,Pilot Special Edition,Used,45998
2019,Cadillac,XT5 Luxury,Cadillac Certified,33977
2020,Jeep,Grand Cherokee Limited,Used,36789
2019,Chevrolet,Equinox 1LT,Chevrolet Certified,25000
2019,Cadillac,CT6 3.6L Premium Luxury,Used,47635
2021,Honda,CR-V EX,Used,34844
2021,Hyundai,Palisade SEL,Used,45800
2020,Hyundai,Santa Fe SEL 2.4,Used,32997
2019,Jaguar,F-PACE 25t Premium,Used,44999
2021,Toyota,Corolla LE,Used,23139
2020,Ford,Explorer XLT,Used,36993
2019,BMW,X3 xDrive30i,Used,35998
2016,Cadillac,SRX Luxury Collection,Used,16985
2021,GMC,Sierra 1500 Denali,Used,62893
2020,Lincoln,Nautilus Reserve,Used,48910
2020,Toyota,Prius LE,Used,28869
2020,Honda,Pilot EX-L,Honda Certified,33791
2017,Hyundai,Tucson SE,Used,20488
2021,Mazda,CX-5 Touring,Used,22450
2021,Jeep,Grand Cherokee Limited,Used,44980
2019,Toyota,4Runner Limited Nightshade,Used,45241
2019,Honda,CR-V EX,Used,29800
2017,INFINITI,QX30 Premium,Used,27125
2019,BMW,330 i xDrive,Used,38995
2020,Honda,Civic LX,Used,24374
2019,Lexus,ES 350 F Sport,Used,38489
2020,Lexus,IS 300 Base,Used,38985
2017,Lexus,ES 350 Base,Used,33288
2019,Honda,Pilot EX-L,Used,40900
2015,Toyota,4Runner Limited,Used,35993
2020,Kia,Telluride EX,Used,41500
2021,Hyundai,Kona SEL Plus,Used,29990
2019,Toyota,Highlander SE,Used,40999
2019,Mercedes-Benz,E-Class E 300,Used,42646
2019,Honda,CR-V EX-L,Honda Certified,32901
2019,Ford,Escape SE,Used,24878
2020,Acura,TLX A-Spec,Acura Certified,35921
2020,Honda,Civic LX,Used,26000
2019,Honda,CR-V EX,Honda Certified,31000
2020,Honda,CR-V EX,Honda Certified,31597
2020,Porsche,Macan S,Used,65994
2020,GMC,Yukon SLT,Used,40599
2019,Mazda,CX-5 Grand Touring,Used,28575
2019,Audi,A3 2.0T Premium,Used,25498
2018,Subaru,Outback 3.6R Limited,Used,30698
2018,Land,Rover Discovery HSE,Used,51241
2016,Lexus,ES 350 Base,Used,33588
2019,Mazda,CX-5 Touring,Used,26000
2018,Audi,Q3 2.0T Premium,Used,28990
2021,Chevrolet,Colorado Z71,Used,38995
2021,Dodge,Challenger R/T Scat Pack,Used,46500
2021,RAM,1500 Laramie,RAM Certified,49000
2020,Toyota,Tacoma TRD Off Road,Toyota Certified,48990
2019,BMW,X3 xDrive30i,BMW Certified,41995
2018,Jeep,Grand Cherokee Altitude,Used,32490
2019,Kia,Sportage LX,Used,23389
2014,Mercedes-Benz,E-Class E 350 4MATIC,Used,39998
2015,Porsche,Cayenne S,Used,40450
2013,Maserati,GranTurismo Sport,Used,63777
2019,BMW,X5 xDrive40i,Used,56880
2017,Chrysler,300 Limited,Used,24725
2021,Lincoln,Navigator Black Label,Used,109835
2019,Alfa,Romeo Stelvio Ti,Alfa Romeo Certified,39995
2019,INFINITI,QX60 Luxe,Used,36723
2022,Toyota,Corolla SE,Used,29398
2021,GMC,Yukon SLT,Used,72800
2019,INFINITI,Q50 3.0t Red Sport 400,INFINITI Certified,43529
2021,Mercedes-Benz,GLC 300 Base 4MATIC,Used,55688
2019,Toyota,Corolla Hatchback SE,Used,24702
2017,Jaguar,F-PACE 35t R-Sport,Used,41275
2018,Ford,F-150 King Ranch,Used,44500
2022,Hyundai,Palisade SEL,Used,44992
2016,Toyota,4Runner Limited,Used,34700
2019,Lexus,GX 460 Base,Used,47988
2019,Kia,Sorento LX,Used,24495
2020,Audi,Q5 45 Premium Plus,Used,41952
2016,Lexus,RC 350 Base,Used,39991
2019,Lincoln,MKC Select,Used,27693
2021,Subaru,Forester Premium,Subaru Certified,35967
2016,Nissan,Pathfinder SV,Used,19994
2019,Jeep,Grand Cherokee Limited,Used,34998
2021,Toyota,RAV4 LE,Toyota Certified,29599
2018,Subaru,Outback 2.5i Limited,Subaru Certified,29995
2020,BMW,X5 xDrive40i,BMW Certified,59990
2015,Cadillac,ATS 2.0L Turbo Luxury,Used,27203
2020,Ford,Fusion SE,Used,25900
2019,Honda,Pilot EX-L,Used,36500
2019,Cadillac,XT5 Luxury,Cadillac Certified,34995
2014,Buick,LaCrosse Premium 1,Used,21995
2021,Lexus,GX 460 Base,Used,56490
2021,Tesla,Model Y Performance,Used,79950
2019,Mercedes-Benz,C-Class C 300,Used,49997
2019,RAM,1500 Laramie,Used,49998
2016,Mercedes-Benz,E-Class E 400 4MATIC,Used,35000
2020,Mercedes-Benz,GLC 300 Base 4MATIC,Used,41489
2022,Honda,Pilot EX-L,Used,43546
2020,Tesla,Model Y Long Range,Used,69000
2020,Lincoln,Nautilus Reserve,Used,50995
2019,BMW,540 i,Used,40490
2019,Ford,Edge SEL,Ford Certified,30950
2019,Honda,Passport EX-L,Honda Certified,33425
2019,BMW,330 i,Used,35900
2021,Mercedes-Benz,AMG GLE 53 Base,Used,96900
2020,Ford,Ranger XLT,Used,37757
2020,RAM,1500 Laramie,Used,47293
2019,Ford,Flex SEL,Used,29995
2016,Toyota,Highlander XLE,Used,32296
2020,Chrysler,300 Limited,Used,32990
2019,Honda,Civic LX,Used,24500
2019,Lincoln,Nautilus Reserve,Used,39998
2020,RAM,1500 Laramie,Used,48421
2021,Chevrolet,Tahoe RST,Used,71896
2016,Ford,Explorer Limited,Used,23492
2019,INFINITI,QX60 Luxe,Used,35170
2020,Dodge,Durango R/T,Used,45500
2017,INFINITI,QX30 Premium,Used,24450
2018,Tesla,Model 3 Mid Range,Used,47900
2020,Land,Rover Discovery Landmark,Used,64998
2020,Lexus,GX 460 Base,Used,49000
2019,Buick,Encore Preferred,Used,24798
2019,Honda,CR-V EX-L,Honda Certified,30495
2019,Honda,CR-V EX-L,Honda Certified,31200
2020,BMW,X5 xDrive40i,Used,56995
2019,Ford,Edge Titanium,Used,29995
2019,Honda,Pilot EX-L,Used,37500
2019,Volvo,XC60 T6 Inscription,Used,43920
2020,BMW,X3 xDrive30i,BMW Certified,44988
2019,Subaru,Crosstrek 2.0i Premium,Used,25980
2019,Honda,CR-V EX,Honda Certified,32414
2021,Audi,A4 40 Premium,Used,36993
2016,Honda,Pilot Elite,Used,28990
2020,BMW,M340 i,Used,49900
2019,BMW,X1 sDrive28i,Used,32988
2019,Lexus,ES 350 Base,Used,38455
2019,Mercedes-Benz,GLS 450 Base 4MATIC,Used,47496
2021,RAM,1500 Laramie,Used,52899
2020,Tesla,Model X Long Range,Used,97737
2019,BMW,X3 xDrive30i,BMW Certified,40510
2018,Dodge,Journey SE,Used,25998
2021,Mercedes-Benz,GLB 250 Base 4MATIC,Used,48890
2013,BMW,X3 xDrive28i,Used,15499
2019,Honda,CR-V EX-L,Honda Certified,33394
2017,Cadillac,Escalade Luxury,Used,49275
2021,Nissan,Altima 2.5 SR,Nissan Certified,31500
2018,Honda,Accord EX-L,Honda Certified,29000
2019,INFINITI,QX60 Luxe,INFINITI Certified,35999
2021,Nissan,Altima 2.5 SR,Used,28357
2019,Ford,Expedition Platinum,Ford Certified,56000
2019,INFINITI,QX60 Luxe,INFINITI Certified,36501
2021,Mercedes-Benz,GLC 300 Base 4MATIC,Mercedes-Benz Certified,54500
2021,Land,Rover Range Rover Velar S,Used,67997
2012,Porsche,Cayenne S,Used,27985
2016,Mercedes-Benz,GLE-Class GLE 350,Used,28500
2021,Toyota,Highlander XLE,Used,45923
2010,Mazda,Mazda3 i Sport,Used,6099
2016,INFINITI,QX80 4WD,Used,35699
2021,BMW,X3 sDrive30i,Used,44890
2021,Toyota,Camry SE,Used,33984
2019,Ford,F-150 XLT,Used,42500
2021,Mazda,Mazda3 Premium Plus,Used,35288
2019,Mazda,CX-9 Touring,Used,35998
2021,Toyota,RAV4 LE,Toyota Certified,30000
2019,Cadillac,XT5 Luxury,Cadillac Certified,38111
2007,Volvo,XC90 3.2,Used,4049
2017,Ford,Edge Titanium,Used,26688
2016,Lexus,NX 200t F Sport,Used,32164
2021,Jeep,Wrangler Unlimited Sport,Used,45444
2019,Volkswagen,Arteon 2.0T SE R-Line,Volkswagen Certified,35690
2019,INFINITI,QX60 Luxe,Used,35995
2018,Jeep,Grand Cherokee Limited,Used,31486
2020,Lexus,NX 300 Base,Used,42991
2021,Volkswagen,Atlas 3.6L SEL,Used,45990
2019,Cadillac,XT5 Luxury,Cadillac Certified,38802
2019,Buick,Encore Preferred,Used,26988
2019,Honda,CR-V EX,Used,29559
2019,Chevrolet,Traverse RS,Used,39347
2021,Kia,Telluride SX,Used,55986
2021,Buick,Encore GX Select,Used,28992
2017,BMW,X1 xDrive 28i,Used,24996
2019,Lexus,ES 350 F Sport,Used,40490
2019,Land,Rover Range Rover Velar P250 SE R-Dynamic,Used,59998
2019,GMC,Acadia SLE-2,Used,30610
2017,Hyundai,Elantra SE,Used,18998
2019,Lincoln,Nautilus Reserve,Used,40965
2014,Audi,Q5 2.0T Premium Plus,Used,18980
2019,Ford,Flex SEL,Used,27643
2017,Ford,Explorer XLT,Used,22500
2012,Subaru,Forester 2.5X,Used,7099
2019,Jeep,Grand Cherokee Altitude,Used,41697
2021,Mercedes-Benz,GLA 250 Base,Used,43499
2016,Honda,Pilot Touring,Used,28400
2021,Chrysler,300 S,Used,35956
2020,Kia,Sportage LX,Kia Certified,27903
2020,GMC,Yukon SLT,Used,44895
2020,Toyota,Tundra SR5,Used,49987
2016,Audi,Q3 2.0T Premium Plus,Used,20798
2011,Lexus,IS-F Base,Used,34995
2021,Toyota,Highlander XLE,Used,48500
2021,Nissan,Rogue Platinum,Used,41998
2017,Ford,F-150 Lariat,Used,34897
2020,Mercedes-Benz,GLE 350 Base 4MATIC,Used,51500
2019,BMW,X5 xDrive40i,Used,50593
2017,Honda,CR-V EX-L,Used,28000
2019,Audi,RS 5 2.9T,Used,63900
2016,Honda,Odyssey Touring Elite,Used,29599
2019,INFINITI,QX60 Luxe,Used,42998
2020,Mitsubishi,Mirage G4 LE,Used,17526
2020,Nissan,Pathfinder SL,Used,32000
2018,Jeep,Grand Cherokee Limited,Used,28500
2016,INFINITI,Q70 3.7X,Used,23988
2020,Cadillac,XT4 Premium Luxury,Used,34991
2020,Kia,Sportage LX,Kia Certified,26145
2019,Honda,CR-V EX-L,Used,28999
2019,Cadillac,XT4 Premium Luxury,Used,13950
2019,Mercedes-Benz,GLA 250 Base 4MATIC,Used,35739
2020,Audi,Q3 S line Premium Plus,Used,40999
2017,Subaru,Legacy 2.5i Limited,Used,20999
2016,BMW,X5 xDrive35i,Used,27995
2019,Acura,MDX 3.5L w/Technology Package,Used,40500
2020,Ford,Edge SEL,Used,27490
2021,Volkswagen,Tiguan 2.0T S,Volkswagen Certified,29876
2019,Audi,SQ5 3.0T Premium,Used,48992
2019,Audi,Q5 2.0T Premium Plus,Used,37999
2019,Kia,Forte LXS,Used,13995
2019,Mercedes-Benz,AMG E 63 S 4MATIC,Mercedes-Benz Certified,99980
2019,Audi,Q8 3.0T Premium,Used,61887
2021,Dodge,Charger Scat Pack,Used,55998
2020,Buick,Encore Essence,Used,24977
2020,Tesla,Model Y Long Range,Used,68995
2019,Mercedes-Benz,GLA 250 Base 4MATIC,Mercedes-Benz Certified,34383
2019,BMW,X1 xDrive28i,Used,31834
2018,Ford,Explorer XLT,Used,28794
2020,Volkswagen,Atlas Cross Sport 2.0T SE,Used,37998
2020,Subaru,Impreza Premium,Used,25498
2020,Hyundai,Tucson SE,Used,26949
2021,Chevrolet,Suburban RST,Used,80990
2021,Jeep,Grand Cherokee Limited,Used,48841
2018,Jeep,Renegade Altitude,Used,23599
2019,Lexus,GX 460 Base,Used,49995
2017,Chevrolet,Tahoe LT,Used,45991
2021,BMW,330 i,BMW Certified,44962
2021,Toyota,Tundra SR5,Used,47889
2020,Jeep,Cherokee Latitude Plus,Used,27898
2021,Hyundai,Palisade Calligraphy,Used,52000
2020,RAM,1500 Laramie,Used,47977
2021,Honda,CR-V EX-L,Honda Certified,39212
2019,BMW,M850 i xDrive,Used,92687
2020,Ford,Edge SEL,Used,26998
2018,Cadillac,XT5 Luxury,Cadillac Certified,38985
2020,Chevrolet,Equinox 1LT,Used,24899
2017,Dodge,Durango GT,Used,28980
2021,Mercedes-Benz,GLC 300 Base,Used,48990
2017,Porsche,911 Turbo S,Used,162990
2020,BMW,330 i,Used,38998
2019,BMW,330 i,Used,38750
2013,Chrysler,Town & Country Touring-L,Used,11404
2021,INFINITI,QX80 PREMIUM SELECT,Used,64986
2020,Nissan,Rogue SL,Used,31847
2019,Toyota,4Runner TRD Off Road,Toyota Certified,44454
2019,Honda,CR-V EX-L,Used,35690
2017,Jeep,Grand Cherokee Limited,Used,25989
2016,Honda,CR-V Touring,Honda Certified,26991
2018,Volkswagen,Passat 2.0T S,Used,22896
2019,Audi,A7 3.0T Prestige,Used,57977
2016,Toyota,Tundra 1794,Used,42995
2019,Lexus,ES 350 Luxury,Used,42998
2016,Kia,Soul Base,Used,16570
2021,Cadillac,Escalade Sport,Used,109500
2018,Jeep,Wrangler JK Sport,Jeep Certified,33950
2020,Chevrolet,Suburban LT,Used,52340
2019,Mazda,CX-9 Touring,Used,34650
2020,Lexus,GX 460 Base,Used,52990
2021,Audi,A4 40 Premium Plus,Used,41995
2020,RAM,1500 Limited,Used,56988
2020,Chevrolet,Equinox 2LT,Used,26795
2020,Jeep,Grand Cherokee Limited,Used,36929
2017,Hyundai,Elantra SE,Used,10795
2019,Cadillac,XT5 Luxury,Cadillac Certified,34987
2019,INFINITI,QX60 Luxe,Used,29757
2019,Mercedes-Benz,A-Class A 220,Mercedes-Benz Certified,31999
2019,INFINITI,QX50 ESSENTIAL,Used,33739
2020,Mercedes-Benz,GLB 250 Base,Used,37890
2017,Honda,Pilot Touring,Used,29110
2020,Lincoln,Aviator Black Label AWD,Used,66250
2020,Ford,Escape SEL,Ford Certified,29595
2019,GMC,Acadia SLE-2,Used,32175
2018,BMW,X3 xDrive30i,Used,36998
2018,BMW,X3 xDrive30i,Used,36998
2020,Jaguar,E-PACE SE,Used,44499
2021,Lexus,ES 350 Base,Used,43677
2019,INFINITI,QX60 Luxe,Used,36998
2019,Ford,Edge ST,Used,32000
2020,Mitsubishi,Outlander Sport ES,Used,22577
2019,Honda,CR-V EX,Used,29000
2019,Kia,Sorento LX,Used,31488
2019,Honda,CR-V EX-L,Honda Certified,32290
2019,Honda,CR-V EX,Honda Certified,31768
2021,Mercedes-Benz,C-Class C 300 4MATIC,Mercedes-Benz Certified,42900
2020,Hyundai,Palisade Limited,Used,46845
2020,Mercedes-Benz,GLE 350 Base 4MATIC,Used,55498
2019,Honda,CR-V LX,Used,26500
2020,Hyundai,Palisade Limited,Used,48998
2019,Chevrolet,Equinox 1LT,Used,25554
2021,Jeep,Gladiator Sport,Used,41500
2021,Audi,A4 40 Premium,Used,36520
2020,Kia,Telluride EX,Used,42230
2020,Toyota,Corolla LE,Used,19895
2019,BMW,750 i xDrive,Used,69990
2011,BMW,X5 xDrive35i,Used,11999
2021,Jeep,Grand Cherokee Limited,Jeep Certified,44687
2019,Mazda,CX-5 Grand Touring,Used,31500
2019,GMC,Sierra 1500 Denali,Used,47790
2015,Porsche,Macan S,Used,38995
2020,Honda,CR-V EX-L,Used,33995
2019,Toyota,4Runner TRD Pro,Used,50499
2020,Land,Rover Range Rover Evoque SE,Used,42995
2020,BMW,M340 i,Used,47999
2020,Ford,Explorer XLT,Used,38194
2018,Honda,Civic EX,Used,34649
2019,Mercedes-Benz,CLA 250 Base,Used,27914
2017,Audi,Q7 3.0T Premium Plus,Used,32999
2020,Mercedes-Benz,GLB 250 Base 4MATIC,Used,41488
2019,BMW,X5 xDrive40i,BMW Certified,54394
2021,Tesla,Model 3 Standard Range Plus,Used,56262
2019,Honda,Odyssey EX-L,Used,40991
2019,Toyota,Camry SE,Used,29711
2015,Lexus,RX 350 Base,Used,31755
2020,Toyota,RAV4 LE,Used,29189
2019,Honda,CR-V LX,Used,29444
2019,Mercedes-Benz,C-Class C 300 4MATIC,Mercedes-Benz Certified,35842
2017,BMW,X3 xDrive28i,Used,29866
2019,Ford,Expedition Platinum,Used,60049
2021,Toyota,4Runner Limited,Used,48334
2015,Lexus,RX 350 Base,Used,23999
2020,BMW,330 i,Used,31490
2020,Jeep,Wrangler Unlimited Sahara,Used,39989
2019,Volkswagen,Tiguan 2.0T SE,Used,26181
2020,Nissan,Rogue SV,Used,27912
2019,INFINITI,Q50 3.0t Sport,INFINITI Certified,32980
2013,Mercedes-Benz,SL-Class SL 550,Used,54999
2019,Subaru,Forester Limited,Used,34927
2019,Ford,Mustang EcoBoost,Ford Certified,29000
2018,Ford,Edge Sport,Used,33911
2019,BMW,330 i xDrive,Used,35880
2021,Volkswagen,Atlas Cross Sport 2.0T SE,Used,39124
2018,Cadillac,XT5 Luxury,Cadillac Certified,34214
2019,Ford,Escape Titanium,Used,30500
2017,Lexus,ES 350 Base,Used,34884
2015,BMW,Z4 sDrive35is,Used,49400
2020,Mercedes-Benz,GLC 300 Base 4MATIC,Mercedes-Benz Certified,46988
2017,Ford,Edge Titanium,Used,29900
2018,Mazda,Mazda6 Touring,Used,23577
2019,Audi,Q8 3.0T Premium,Used,58989
2020,Honda,CR-V EX-L,Used,34001
2021,Lincoln,Aviator Reserve AWD,Used,58990
2021,Chevrolet,Tahoe LT,Used,69998
2020,Kia,Telluride SX,Used,47988
2019,BMW,330 i xDrive,Used,39591
2012,Mercedes-Benz,SLK-Class SLK 250,Used,26775
2019,Mercedes-Benz,A-Class A 220 4MATIC,Used,32975
2021,Volvo,XC90 T6 Momentum 7 Passenger,Volvo Certified,55998
2019,Lexus,RX 350 350,Used,49998
2019,Cadillac,XT5 Luxury,Used,41995
2021,Cadillac,Escalade Sport,Used,109668
2022,Acura,MDX A-Spec,Used,59020
2017,BMW,430 i,Used,28996
2015,Kia,Sorento LX,Used,15900
2020,Lexus,GX 460 Base,Used,53906
2020,Cadillac,XT6 Premium Luxury AWD,Used,50000
2020,Alfa,Romeo Giulia Base,Used,33439
2012,Mercedes-Benz,S-Class S 550 4MATIC,Used,23495
2011,Mazda,CX-9 Grand Touring,Used,7099
2021,Jeep,Wrangler Unlimited Rubicon,Used,53883
2017,Toyota,Highlander LE,Used,28500
2015,Honda,Civic SE,Used,16998
2020,Honda,Civic LX,Used,24442
2016,Mercedes-Benz,GLE-Class GLE 350,Used,26976
2020,Lexus,RX 350,Used,44429
2019,Honda,Passport EX-L,Used,33457
2017,Lexus,LX 570 Base,Used,66850
2019,INFINITI,QX50 ESSENTIAL,Used,35998
2017,BMW,750 i xDrive,Used,44998
2018,Honda,Accord EX,Used,27900
2017,BMW,X5 xDrive35i,Used,32488
2016,Audi,A6 3.0T Prestige,Used,25687
2014,Bentley,Continental GT Speed,Used,134664
2021,Alfa,Romeo Stelvio Base,Used,41957
2021,RAM,1500 Big Horn,Used,40789
2016,Cadillac,CTS 2.0L Turbo Standard,Used,22999
2020,Kia,Sportage LX,Used,25999
2019,Lincoln,Nautilus Reserve,Used,44500
2020,Land,Rover Range Rover Velar S R-Dynamic,Used,61989
2021,Lexus,RX 350 Base,Used,53980
2019,Mercedes-Benz,C-Class C 300 4MATIC,Mercedes-Benz Certified,39556
2017,BMW,M2 Base,Used,50710
2021,Audi,Q7 45 Premium,Used,59790
2019,Volkswagen,Atlas 3.6L SE w/Technology,Used,35995
2018,Audi,Q5 2.0T Tech Premium,Used,38898
2019,Honda,Pilot EX-L,Used,29992
2020,RAM,1500 Laramie,Used,45594
2019,Honda,CR-V EX-L,Honda Certified,31392
2021,Chevrolet,Tahoe RST,Used,70883
2019,Nissan,Rogue S,Used,24487
2020,INFINITI,QX60 Pure,Used,31260
2019,Volkswagen,Tiguan 2.0T SE,Used,28000
2006,Nissan,Murano S,Used,5070
2017,Audi,Q7 3.0T Premium Plus,Used,33398
2019,Mercedes-Benz,CLA 250 Base,Used,32981
2019,Mercedes-Benz,CLA 250 Base,Used,29999
2019,Mercedes-Benz,CLA 250 Base,Used,31998
2019,Mercedes-Benz,C-Class C 300,Used,36000
2019,Mercedes-Benz,AMG GLE 43 4MATIC Coupe,Used,68990
2019,BMW,X3 xDrive30i,BMW Certified,39940
2020,GMC,Terrain SLE,Used,28019
2020,Toyota,Camry XSE,Used,33893
2018,Ford,Edge Titanium,Used,26995
2012,Cadillac,CTS Premium,Used,21495
2019,Honda,CR-V EX-L,Honda Certified,32523
2019,Subaru,Crosstrek 2.0i Premium,Used,29129
2016,Honda,CR-V Touring,Used,28595
2019,BMW,X5 xDrive40i,BMW Certified,60962
2021,Volvo,XC60 T5 Inscription,Used,52725
2020,Kia,Sorento S,Used,29898
2020,Lexus,RX 350 Base,Used,49998
2019,INFINITI,QX50 ESSENTIAL,INFINITI Certified,36500
2019,INFINITI,Q50 3.0t Red Sport 400,INFINITI Certified,43529
2020,BMW,750 i xDrive,BMW Certified,80997
2021,GMC,Yukon Denali,Used,87887
2015,Cadillac,SRX Luxury Collection,Used,23491
2020,Toyota,4Runner SR5 4WD,Used,41504
2019,Ford,Edge ST,Ford Certified,34991
2019,GMC,Yukon Denali,Used,60998
2018,Hyundai,Elantra SEL,Used,15500
2020,Land,Rover Range Rover Evoque S,Used,44995
2018,Toyota,Highlander Limited,Used,31983
2018,Toyota,Camry SE,Used,28000
2019,Subaru,Outback 2.5i Limited,Used,28941
2020,BMW,X7 xDrive40i,Used,75596
2019,Lincoln,Nautilus Reserve,Used,42576
2009,Lexus,IS 250,Used,14995
2016,Hyundai,Santa Fe Sport 2.0L Turbo,Used,21998
2018,INFINITI,Q50 3.0t LUXE,Used,26566
2018,Nissan,Rogue SL,Used,24995
2020,Alfa,Romeo Giulia Base,Used,37000
2021,RAM,1500 Limited,Used,59959
2019,INFINITI,QX60 Luxe,Used,39718
2019,Land,Rover Range Rover Velar P250 SE R-Dynamic,Used,57697
2019,Jeep,Grand Cherokee Limited,Used,37477
2019,Ford,Edge SEL,Used,28991
2019,Kia,Sorento LX,Used,21916
2019,Volvo,XC60 T5 Momentum,Volvo Certified,38395
2020,Lexus,RX 350 Base,Used,49987
2021,Lexus,RX 350 Base,Used,52922
2019,Chevrolet,Equinox 2LT,Used,23980
2019,Jeep,Grand Cherokee Limited,Used,32837
2017,BMW,X1 xDrive 28i,Used,30000
2016,BMW,X5 xDrive35i,Used,24995
2018,BMW,M2 Base,Used,52180
2018,Ford,Escape SE,Used,19139
2021,Toyota,Highlander Limited,Used,48980
2021,GMC,Sierra 1500 Denali,Used,72950
2018,Mercedes-Benz,C-Class C 300,Used,29995
2020,Toyota,Highlander XLE,Used,36498
2020,Nissan,Rogue SV,Used,26999
2020,BMW,X7 xDrive40i,Used,73700
2019,Lincoln,MKZ Hybrid Reserve I,Used,31500
2020,Lexus,RX 350 Base,Used,47750
2022,Honda,Pilot Special Edition,Used,44774
2019,Land,Rover Range Rover Sport 3.0L Supercharged HSE,Used,62990
2018,BMW,X5 xDrive35i,Used,30888
2021,BMW,X3 sDrive30i,BMW Certified,46500
2020,Chrysler,Pacifica Limited,Used,32485
2017,Jeep,Grand Cherokee Summit,Used,36000
2018,Ford,Edge Sport,Used,28947
2018,Audi,Q7 3.0T Premium Plus,Used,43895
2021,Lexus,GX 460 Base,Used,53490
2020,Toyota,Camry LE,Toyota Certified,32000
2017,Toyota,Corolla LE,Used,13899
2020,Mercedes-Benz,C-Class C 300 4MATIC,Mercedes-Benz Certified,42904
2018,Ford,Explorer XLT,Used,37500
2019,Mazda,CX-5 Grand Touring,Used,30999
2020,Land,Rover Defender 110 SE,Used,81512
2019,Honda,CR-V EX-L,Honda Certified,33980
2019,BMW,X4 xDrive30i,Used,44895
2019,Mercedes-Benz,AMG C 43 Base 4MATIC,Used,50555
2020,Kia,Sportage LX,Used,26000
2019,Dodge,Durango GT Plus,Used,32995
2019,Volvo,XC90 T6 Momentum,Used,44885
2020,Toyota,Corolla LE,Used,21909
2019,BMW,330 i xDrive,BMW Certified,38778
2022,BMW,X2 M35i,Used,48995
2019,Mercedes-Benz,C-Class C 300 4MATIC,Used,52998
2019,BMW,X5 xDrive40i,BMW Certified,53987
2019,Subaru,Forester Premium,Used,28250
2019,Jeep,Cherokee Limited,Used,28998
2020,INFINITI,Q50 3.0t Sport,INFINITI Certified,39995
2020,Honda,Civic LX,Used,23998
2020,BMW,X5 sDrive40i,BMW Certified,52498
2020,Kia,Sorento LX,Used,24450
2020,Volkswagen,Tiguan 2.0T SE,Used,28998
2020,Volkswagen,Tiguan 2.0T SE,Used,27980
2018,Chrysler,300 Limited,Used,24898
2021,Tesla,Model Y Long Range,Used,65869
2020,Acura,RDX Technology Package,Used,40998
2016,Chevrolet,Tahoe LT,Used,32950
