Year,Make,Model,Used/New,Price
2018,Honda,Civic EX-T,Used,26955
2019,BMW,X5 xDrive40i,Used,54998
2020,Toyota,Corolla SE,Used,18500
2018,Toyota,4Runner Limited,Toyota Certified,42727
2020,Ford,Expedition Max Limited,Used,49499
2022,Honda,Pilot Elite,Used,41300
2022,Honda,Pilot Elite,Used,40000
2014,Subaru,Forester 2.5i,Used,8080
2021,Subaru,Forester Sport,Used,29700
2020,Ford,Edge Titanium,Used,34997
2020,Subaru,Ascent Touring 7-Passenger,Used,42505
2019,Chevrolet,Silverado 1500 RST,Used,47988
2020,Lexus,RX 450hL Base,Used,56500
2021,Subaru,Forester Premium,Used,28400
2019,Volvo,XC60 T5 Inscription,Used,40968
2019,Volvo,XC60 T5 Momentum,Volvo Certified,43968
2019,Volvo,XC40 T5 R-Design,Used,42962
2020,BMW,X5 sDrive40i,Used,55901
2019,Mazda,CX-5 Grand Touring,Used,29895
2019,Toyota,4Runner Limited,Used,46991
2019,BMW,M850 i xDrive,Used,77480
2020,Dodge,Challenger SXT,Dodge Certified,30595
2021,Tesla,Model 3 Performance,Used,65786
2018,Hyundai,Santa Fe Limited Ultimate,Used,24750
2020,Dodge,Challenger SXT,Used,32290
2019,Ford,F-150 XLT,Used,42995
2019,BMW,330 i xDrive,Used,39521
2019,Honda,CR-V EX,Used,28693
2016,Toyota,4Runner Trail Premium,Used,36995
2020,Acura,MDX 3.5L w/Technology Package,Used,41499
2017,Subaru,Impreza 2.0i,Used,16823
2004,Toyota,Highlander Base,Used,5099
2003,Lexus,RX 300,Used,9099
2019,Honda,CR-V EX-L,Honda Certified,34499
2019,Toyota,4Runner SR5,Used,37998
2019,Chevrolet,Impala Premier 2LZ,Used,26256
2019,BMW,X7 xDrive50i,Used,81749
2008,Mercedes-Benz,S-Class S 550 4MATIC,Used,15800
2018,Nissan,Rogue SL,Used,21690
2021,Volkswagen,Atlas 3.6L SEL Premium,Used,47990
2020,Acura,TLX FWD,Acura Certified,31290
2019,Toyota,4Runner Limited,Used,46079
2018,Toyota,RAV4 XLE,Used,28998
2019,Honda,Accord EX-L 1.5T,Used,20900
2020,Mercedes-Benz,GLE 350 Base 4MATIC,Used,53967
2019,BMW,330 i,Used,39597
2019,BMW,X3 M40i,Used,47997
2021,Audi,Q3 45 S line Premium,Used,44561
2021,Audi,Q3 45 S line Premium,Used,44591
2019,Mercedes-Benz,GLC 300 Base 4MATIC,Mercedes-Benz Certified,40565
2021,BMW,X5 PHEV xDrive45e,Used,71000
2021,Genesis,GV80 2.5T,Used,52541
2018,Audi,S5 3.0T Prestige,Used,44850
2019,Honda,Pilot EX-L,Used,36498
2019,Mercedes-Benz,GLC 300 Base 4MATIC,Used,37500
2020,Chevrolet,Spark LS,Used,13989
2019,Hyundai,Elantra SE,Used,21998
2019,Hyundai,Elantra SE,Used,18997
2015,Chevrolet,Suburban 1500 LT,Used,32495
2012,Mercedes-Benz,S-Class S 550 4MATIC,Used,25695
2020,Nissan,Frontier PRO-4X,Used,38700
2018,Honda,Accord EX-L 1.5T,Used,18985
2019,Jeep,Grand Cherokee Limited,Used,35500
2019,Mazda,CX-5 Grand Touring,Used,27491
2010,BMW,128 128i,Used,8099
2016,Land,Rover Range Rover,Used,49989
2011,Ford,F-150 Lariat,Used,19995
2004,Lexus,LS 430 Base (A6),Used,14290
2020,Lexus,RX 350 Base,Used,47455
2016,Audi,A7 3.0T Prestige,Used,47940
2020,Mazda,Mazda6 Sport,Used,30916
2016,Hyundai,Sonata Hybrid SE,Used,18375
2017,Alfa,Romeo Giulia Ti,Used,29900
2019,Mercedes-Benz,CLA 250 Base,Mercedes-Benz Certified,30495
2017,Toyota,Corolla LE,Used,13899
2016,Acura,MDX 3.5L w/Technology Package,Used,19900
2016,Nissan,Rogue SV,Nissan Certified,19998
2019,Honda,Civic LX,Used,23845
2008,Lexus,RX 350 Base (A5),Used,11995
2019,Honda,Odyssey EX-L,Honda Certified,38310
2019,BMW,X5 xDrive40i,Used,56998
2020,Acura,ILX Premium & A-SPEC Packages,Used,30885
2006,Toyota,Highlander Limited w/3rd Row,Used,11995
2019,BMW,M550 i Xdrive,Used,44718
2019,Subaru,Forester,Subaru Certified,27977
2019,Subaru,Forester,Used,23990
2020,BMW,M4 Base,Used,72735
2019,Volkswagen,Tiguan 2.0T SE,Volkswagen Certified,26496
2021,Cadillac,XT6 Premium Luxury AWD,Used,59998
2020,Chevrolet,Blazer Premier,Used,48998
2019,Honda,CR-V EX-L,Used,29875
2012,Porsche,911 Targa 4,Used,72998
